epoch,gen_loss,disc_loss,time_sec
5,4.78192,0.6482391,12.970519781112671
10,4.6616044,0.5254389,14.017653465270996
15,5.726598,0.52871203,14.243651390075684
20,5.9715433,0.48125917,14.426948308944702
25,6.359342,0.4266003,14.265349388122559
30,7.4173417,0.43399373,14.44369912147522
35,7.041691,0.46737868,14.319294214248657
40,7.450445,0.33660743,14.429210186004639
45,7.089464,0.368719,14.399883508682251
50,7.268684,0.36555448,14.393163681030273
55,7.850362,0.30460748,14.577752828598022
60,8.927069,0.3511544,14.20729660987854
65,8.117791,0.2910895,14.213382720947266
70,8.49561,0.30389655,14.242061376571655
75,8.267242,0.3105237,14.233190298080444
80,8.246945,0.28969288,14.301067113876343
85,9.560019,0.37588668,14.307608366012573
90,8.223449,0.3234668,14.257333755493164
95,7.9506927,0.28095028,14.37678575515747
100,9.083925,0.2634861,14.21177864074707
